6,230,246,348,388,391,416,515,571,615,720,756,775,960,CLASSE
250.0,174.0,2008.0,16000.0,16.0,321.0,10.0,10.0,10.0,10.0,544.0,1163.0,971.0,6646.0,1
1763.0,10.0,30.0,692.0,285.0,10.0,10.0,2582.0,634.0,10.0,10.0,118.0,10.0,438.0,2
78.0,278.0,44.0,574.0,402.0,10.0,10.0,10.0,16000.0,10.0,10.0,10.0,10.0,204.0,2
2683.0,21.0,1032.0,16000.0,10.0,10.0,21.0,3697.0,45.0,10.0,56.0,24.0,10.0,126.0,2
228.0,707.0,10.0,794.0,490.0,10.0,10.0,10.0,5203.0,10.0,10.0,10.0,10.0,312.0,2
330.0,10.0,2713.0,16000.0,10.0,430.0,31.0,10.0,109.0,10.0,12.0,839.0,843.0,95.0,1
107.0,10.0,2125.0,16000.0,16.0,271.0,219.0,10.0,41.0,1285.0,1151.0,2024.0,10.0,4297.0,1
202.0,10.0,10.0,52.0,31.0,451.0,82.0,10.0,815.0,10.0,10.0,10.0,45.0,1489.0,2
541.0,10.0,79.0,495.0,461.0,10.0,10.0,10.0,262.0,10.0,10.0,10.0,10.0,77.0,2
10.0,10.0,1587.0,16000.0,400.0,10.0,10.0,10.0,642.0,10.0,115.0,10.0,10.0,52.0,2
10.0,24.0,10.0,478.0,182.0,10.0,10.0,908.0,414.0,10.0,10.0,39.0,10.0,547.0,2
18.0,47.0,53.0,536.0,501.0,10.0,10.0,10.0,1325.0,10.0,10.0,114.0,10.0,217.0,2
477.0,82.0,96.0,453.0,378.0,10.0,70.0,44.0,2918.0,10.0,10.0,73.0,10.0,552.0,2
130.0,10.0,3198.0,16000.0,72.0,77.0,67.0,78.0,52.0,515.0,597.0,874.0,10.0,1514.0,1
23.0,10.0,520.0,655.0,36.0,532.0,24.0,11202.0,539.0,10.0,51.0,33.0,10.0,10.0,2
229.0,201.0,10.0,898.0,281.0,10.0,10.0,10.0,216.0,10.0,10.0,178.0,10.0,907.0,2
199.0,159.0,10.0,219.0,226.0,10.0,10.0,10.0,170.0,10.0,10.0,10.0,194.0,10.0,2
